event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_original
COVID19 diagnosis outcome,SCTSPA_SNS,1893931000209111,detección de ácido ribonucleico de SARS-CoV-2 en hisopado orofaríngeo,"","",narrow,I,COVID19DX,AESI,1893931000209111
COVID19 diagnosis outcome,SCTSPA_SNS,358881000122118,resultado- muerte por COVID-19,"","",narrow,I,COVID19DX,AESI,358881000122118
COVID19 diagnosis outcome,SCTSPA_SNS,4361487011,Post-acute COVID-19 (disorder),"","",narrow,I,COVID19DX,AESI,4361487011
COVID19 diagnosis outcome,SCTSPA_SNS,373531000122114,necrosis tubular aguda renal por infección por SARS-CoV-2 (anomalía morfológica),"","",narrow,I,COVID19DX,AESI,373531000122114
COVID19 diagnosis outcome,SCTSPA_SNS,3973459012,Detection of ribonucleic acid of 2019-nCoV in bronchoalveolar lavage fluid,"","",narrow,I,COVID19DX,AESI,3973459012
COVID19 diagnosis outcome,SCTSPA_SNS,1873251000209117,detección de ácido ribonucleico de coronavirus 2 del síndrome respiratorio agudo severo en hisopado nasofaríngeo (entidad observable),"","",narrow,I,COVID19DX,AESI,1873251000209117
COVID19 diagnosis outcome,SCTSPA_SNS,364091000122111,enfermedad por SARS-CoV-2 en paciente con enfermedad cardiaca previa (trastorno),"","",narrow,I,COVID19DX,AESI,364091000122111
COVID19 diagnosis outcome,SCTSPA_SNS,373541000122118,necrosis tubular aguda renal por infección por SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,373541000122118
COVID19 diagnosis outcome,SCTSPA_SNS,1869321000209113,insuficiencia respiratoria hipoxémica aguda debida a enfermedad causada por coronavirus 2 del síndrome respiratorio agudo severo (trastorno),"","",narrow,I,COVID19DX,AESI,1869321000209113
COVID19 diagnosis outcome,SCTSPA_SNS,362771000122115,Conjunctivitis due to infection by severe acute respiratory syndrome coronavirus 2,"","",narrow,I,COVID19DX,AESI,362771000122115
COVID19 diagnosis outcome,SCTSPA_SNS,2076221000209115,bronquitis aguda causada por coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,2076221000209115
COVID19 diagnosis outcome,SCTSPA_SNS,2035221000209114,ARNm del coronavirus 2 del SARS (síndrome respiratorio agudo severo),"","",narrow,I,COVID19DX,AESI,2035221000209114
COVID19 diagnosis outcome,SCTSPA_SNS,369441000122114,tratamiento de COVID-19 con anticuerpos monoclonales (régimen-tratamiento),"","",narrow,I,COVID19DX,AESI,369441000122114
COVID19 diagnosis outcome,SCTSPA_SNS,363971000122112,enfermedad por SARS-CoV-2 en paciente con problema de coagulación previo (trastorno),"","",narrow,I,COVID19DX,AESI,363971000122112
COVID19 diagnosis outcome,SCTSPA_SNS,4361647013,Messenger ribonucleic acid of 2019-nCoV,"","",narrow,I,COVID19DX,AESI,4361647013
COVID19 diagnosis outcome,SCTSPA_SNS,363471000122117,Severe acute respiratory syndrome coronavirus 2 detected,"","",narrow,I,COVID19DX,AESI,363471000122117
COVID19 diagnosis outcome,SCTSPA_SNS,3972969016,Acute hypoxemic respiratory failure due to disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),"","",narrow,I,COVID19DX,AESI,3972969016
COVID19 diagnosis outcome,SCTSPA_SNS,358101000122118,Asymptomatic SARS-CoV-2 infection,"","",narrow,I,COVID19DX,AESI,358101000122118
COVID19 diagnosis outcome,SCTSPA_SNS,3973467016,Detection of ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 using polymerase chain reaction,"","",narrow,I,COVID19DX,AESI,3973467016
COVID19 diagnosis outcome,SCTSPA_SNS,358891000122115,resultado- muerte con COVID-19 por causa distinta de COVID-19 (hallazgo),"","",narrow,I,COVID19DX,AESI,358891000122115
COVID19 diagnosis outcome,SCTSPA_SNS,356041000122116,enfermedad causada por coronavirus 2 del síndrome respiratorio agudo grave (trastorno),"","",narrow,I,COVID19DX,AESI,356041000122116
COVID19 diagnosis outcome,SCTSPA_SNS,363801000122112,infección por coronavirus en profesional sanitario,"","",narrow,I,COVID19DX,AESI,363801000122112
COVID19 diagnosis outcome,SCTSPA_SNS,375371000122118,Community-acquired bacterial co-infection associated with COVID-19,"","",narrow,I,COVID19DX,AESI,375371000122118
COVID19 diagnosis outcome,SCTSPA_SNS,363881000122117,tratamiento de enfermedad por SARS-CoV-2- interferón,"","",narrow,I,COVID19DX,AESI,363881000122117
COVID19 diagnosis outcome,SCTSPA_SNS,3973456017,Detection of ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 in bronchoalveolar lavage fluid,"","",narrow,I,COVID19DX,AESI,3973456017
COVID19 diagnosis outcome,SCTSPA_SNS,3972958019,Acute respiratory distress syndrome due to disease caused by Severe acute respiratory syndrome coronavirus 2,"","",narrow,I,COVID19DX,AESI,3972958019
COVID19 diagnosis outcome,SCTSPA_SNS,3970766013,Acute hypoxemic respiratory failure due to disease caused by SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,3970766013
COVID19 diagnosis outcome,SCTSPA_SNS,3947180018,Antigen of severe acute respiratory syndrome coronavirus 2 (substance),"","",narrow,I,COVID19DX,AESI,3947180018
COVID19 diagnosis outcome,SCTSPA_SNS,364891000122116,Patient with disease due to SARS-CoV-2 identified as super-disseminator (finding),"","",narrow,I,COVID19DX,AESI,364891000122116
COVID19 diagnosis outcome,SCTSPA_SNS,370611000122110,Subgenomic RNA testing positive for SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,370611000122110
COVID19 diagnosis outcome,SCTSPA_SNS,357521000122119,tratamiento farmacológico experimental de COVID-19 (régimen-tratamiento),"","",narrow,I,COVID19DX,AESI,357521000122119
COVID19 diagnosis outcome,SCTSPA_SNS,4564963012,Antigen of inactivated whole Severe acute respiratory syndrome coronavirus 2,"","",narrow,I,COVID19DX,AESI,4564963012
COVID19 diagnosis outcome,SCTSPA_SNS,4564964018,Inactivated whole Severe acute respiratory syndrome coronavirus 2 antigen,"","",narrow,I,COVID19DX,AESI,4564964018
COVID19 diagnosis outcome,SCTSPA_SNS,371561000122115,Disease due to SARS-CoV-2 in patient under immunomodulation treatment (disorder),"","",narrow,I,COVID19DX,AESI,371561000122115
COVID19 diagnosis outcome,SCTSPA_SNS,356401000122111,Polymerase chain reaction positive of alternative gene for severe acute respiratory syndrome coronavirus 2,"","",narrow,I,COVID19DX,AESI,356401000122111
COVID19 diagnosis outcome,SCTSPA_SNS,356011000122115,antígeno del coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,356011000122115
COVID19 diagnosis outcome,SCTSPA_SNS,355931000122118,Pulmonary fibrosis due to SARS coronavirus 2,"","",narrow,I,COVID19DX,AESI,355931000122118
COVID19 diagnosis outcome,SCTSPA_SNS,1810771000209119,COVID-19,"","",narrow,I,COVID19DX,AESI,1810771000209119
COVID19 diagnosis outcome,SCTSPA_SNS,2076481000209117,miocarditis debida a enfermedad causada por coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,2076481000209117
COVID19 diagnosis outcome,SCTSPA_SNS,364801000122114,Syndrome of long Q-T interval in patient with disease caused by SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,364801000122114
COVID19 diagnosis outcome,SCTSPA_SNS,370011000122119,daño cerebral severo debido a COVID-19,"","",narrow,I,COVID19DX,AESI,370011000122119
COVID19 diagnosis outcome,SCTSPA_SNS,3970771018,Sepsis due to disease caused by SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,3970771018
COVID19 diagnosis outcome,SCTSPA_SNS,360451000122116,sepsis debida a enfermedad por coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,360451000122116
COVID19 diagnosis outcome,SCTSPA_SNS,363351000122115,Ribonucleic acid of severe acute respiratory syndrome coronavirus 2,"","",narrow,I,COVID19DX,AESI,363351000122115
COVID19 diagnosis outcome,SCTSPA_SNS,3972953011,Pneumonia caused by Severe acute respiratory syndrome coronavirus 2 (disorder),"","",narrow,I,COVID19DX,AESI,3972953011
COVID19 diagnosis outcome,SCTSPA_SNS,368051000122110,resultado de prueba de diagnóstico molecular para SARS-CoV-2 positivo,"","",narrow,I,COVID19DX,AESI,368051000122110
COVID19 diagnosis outcome,SCTSPA_SNS,3973484010,COVID-19 detected,"","",narrow,I,COVID19DX,AESI,3973484010
COVID19 diagnosis outcome,SCTSPA_SNS,367221000122111,resultado positivo de prueba de anticuerpos IgG contra SARS-CoV-2 (hallazgo),"","",narrow,I,COVID19DX,AESI,367221000122111
COVID19 diagnosis outcome,SCTSPA_SNS,1893841000209111,detección de anticuerpos anti-SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,1893841000209111
COVID19 diagnosis outcome,SCTSPA_SNS,360281000122111,anticuerpo inmunoglobulina M frente a SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,360281000122111
COVID19 diagnosis outcome,SCTSPA_SNS,367041000122114,resultado positivo de prueba para ARN subgenómico de SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,367041000122114
COVID19 diagnosis outcome,SCTSPA_SNS,3970565010,Cardiomyopathy due to disease caused by SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,3970565010
COVID19 diagnosis outcome,SCTSPA_SNS,2114871000209110,antígeno de proteína de espiga recombinante de coronavirus 2 del síndrome respiratorio agudo severo (sustancia),"","",narrow,I,COVID19DX,AESI,2114871000209110
COVID19 diagnosis outcome,SCTSPA_SNS,366251000122119,Disease due to SARS-CoV-2 in patient older than 75 years,"","",narrow,I,COVID19DX,AESI,366251000122119
COVID19 diagnosis outcome,SCTSPA_SNS,402321000122111,COVID-19 vaccine of mRNA [Pfizer- Comirnaty],"","",narrow,I,COVID19DX,AESI,402321000122111
COVID19 diagnosis outcome,SCTSPA_SNS,3973463017,Detection of ribonucleic acid of COVID-19 using polymerase chain reaction,"","",narrow,I,COVID19DX,AESI,3973463017
COVID19 diagnosis outcome,SCTSPA_SNS,361561000122110,Diagnosis of COVID-19 infection confirmed by laboratory testing,"","",narrow,I,COVID19DX,AESI,361561000122110
COVID19 diagnosis outcome,SCTSPA_SNS,378751000122117,infección por coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,378751000122117
COVID19 diagnosis outcome,SCTSPA_SNS,362911000122113,otitis media debida a enfermedad por SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,362911000122113
COVID19 diagnosis outcome,SCTSPA_SNS,2035251000209118,ácido ribonucleico mensajero del 2019-nCoV,"","",narrow,I,COVID19DX,AESI,2035251000209118
COVID19 diagnosis outcome,SCTSPA_SNS,394811000122114,Detection of ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 by reverse transcription polymerase chain reaction test (procedure),"","",narrow,I,COVID19DX,AESI,394811000122114
COVID19 diagnosis outcome,SCTSPA_SNS,3973148012,Ribonucleic acid of 2019 novel coronavirus,"","",narrow,I,COVID19DX,AESI,3973148012
COVID19 diagnosis outcome,SCTSPA_SNS,358061000122116,Pulmonary fibrosis due to SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,358061000122116
COVID19 diagnosis outcome,SCTSPA_SNS,2076701000209116,trombocitopenia debida a enfermedad causada por SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,2076701000209116
COVID19 diagnosis outcome,SCTSPA_SNS,3970605018,Infection of upper respiratory tract caused by 2019-nCoV,"","",narrow,I,COVID19DX,AESI,3970605018
COVID19 diagnosis outcome,SCTSPA_SNS,375531000122113,COVID-19 triad- SARS-CoV-2 infection associated with co-infection and coagulopathy,"","",narrow,I,COVID19DX,AESI,375531000122113
COVID19 diagnosis outcome,SCTSPA_SNS,4590547011,Severe acute respiratory syndrome coronavirus 2 recombinant spike protein antigen vaccine declined,"","",narrow,I,COVID19DX,AESI,4590547011
COVID19 diagnosis outcome,SCTSPA_SNS,362361000122112,Outcome- patient dead due to COVID-19,"","",narrow,I,COVID19DX,AESI,362361000122112
COVID19 diagnosis outcome,SCTSPA_SNS,1865871000209115,anticuerpo inmunoglobulina M contra coronavirus 2 del síndrome respiratorio agudo severo,"","",narrow,I,COVID19DX,AESI,1865871000209115
COVID19 diagnosis outcome,SCTSPA_SNS,362341000122113,Outcome- patient alive and recovered from COVID-19,"","",narrow,I,COVID19DX,AESI,362341000122113
COVID19 diagnosis outcome,SCTSPA_SNS,2076231000209117,bronquitis aguda por COVID-19,"","",narrow,I,COVID19DX,AESI,2076231000209117
COVID19 diagnosis outcome,SCTSPA_SNS,3970617016,Acute respiratory distress syndrome due to disease caused by SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,3970617016
COVID19 diagnosis outcome,SCTSPA_SNS,3973436018,Detection of ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 in nasopharyngeal swab,"","",narrow,I,COVID19DX,AESI,3973436018
COVID19 diagnosis outcome,SCTSPA_SNS,357381000122114,diagnóstico COVID-19 confirmado por laboratorio con prueba de alta especificidad (trastorno),"","",narrow,I,COVID19DX,AESI,357381000122114
COVID19 diagnosis outcome,SCTSPA_SNS,370291000122116,Detection of RNA of SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,370291000122116
COVID19 diagnosis outcome,SCTSPA_SNS,1895051000209119,lesión renal aguda debida a COVID-19,"","",narrow,I,COVID19DX,AESI,1895051000209119
COVID19 diagnosis outcome,SCTSPA_SNS,2076681000209119,trombocitopenia debida a enfermedad causada por coronavirus 2 del síndrome respiratorio agudo severo,"","",narrow,I,COVID19DX,AESI,2076681000209119
COVID19 diagnosis outcome,SCTSPA_SNS,1893951000209117,detección de ácido ribonucleico de SARS-CoV-2 en esputo,"","",narrow,I,COVID19DX,AESI,1893951000209117
COVID19 diagnosis outcome,SCTSPA_SNS,368451000122119,enfermedad por SARS-CoV-2 en paciente con tratamiento inmunomodulador,"","",narrow,I,COVID19DX,AESI,368451000122119
COVID19 diagnosis outcome,SCTSPA_SNS,1878381000209112,conjuntivitis debida a enfermedad causada por coronavirus 2 del síndrome respiratorio agudo severo,"","",narrow,I,COVID19DX,AESI,1878381000209112
COVID19 diagnosis outcome,SCTSPA_SNS,4042221015,Severe acute respiratory syndrome coronavirus 2 antibody test positive,"","",narrow,I,COVID19DX,AESI,4042221015
COVID19 diagnosis outcome,SCTSPA_SNS,3970611015,Fever caused by 2019-nCoV,"","",narrow,I,COVID19DX,AESI,3970611015
COVID19 diagnosis outcome,SCTSPA_SNS,4579644011,Severe acute respiratory syndrome coronavirus 2 recombinant spike protein Ag,"","",narrow,I,COVID19DX,AESI,4579644011
COVID19 diagnosis outcome,SCTSPA_SNS,3973464011,Detection of ribonucleic acid of SARS-CoV-2 using polymerase chain reaction,"","",narrow,I,COVID19DX,AESI,3973464011
COVID19 diagnosis outcome,SCTSPA_SNS,368151000122114,endotelitis asociada a SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,368151000122114
COVID19 diagnosis outcome,SCTSPA_SNS,2076621000209118,síndrome de distrés respiratorio agudo debido a enfermedad causada por coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,2076621000209118
COVID19 diagnosis outcome,SCTSPA_SNS,2075831000209111,antígeno de coronavirus 2 del síndrome respiratorio agudo severo (sustancia),"","",narrow,I,COVID19DX,AESI,2075831000209111
COVID19 diagnosis outcome,SCTSPA_SNS,3970621011,Acute respiratory distress syndrome due to disease caused by 2019-nCoV,"","",narrow,I,COVID19DX,AESI,3970621011
COVID19 diagnosis outcome,SCTSPA_SNS,1896211000209116,COVID-19 detectado,"","",narrow,I,COVID19DX,AESI,1896211000209116
COVID19 diagnosis outcome,SCTSPA_SNS,367281000122110,resultado positivo de prueba cuantitativa de anticuerpos contra SARS-CoV-2 (hallazgo),"","",narrow,I,COVID19DX,AESI,367281000122110
COVID19 diagnosis outcome,SCTSPA_SNS,362411000122118,Outcome- case of COVID-19 still under follow-up (finding),"","",narrow,I,COVID19DX,AESI,362411000122118
COVID19 diagnosis outcome,SCTSPA_SNS,367061000122113,resultado positivo de prueba ensayo de inmunoabsorción ligado a enzima para SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,367061000122113
COVID19 diagnosis outcome,SCTSPA_SNS,361361000122117,Acute bronchitis due to severe acute respiratory syndrome coronavirus 2,"","",narrow,I,COVID19DX,AESI,361361000122117
COVID19 diagnosis outcome,SCTSPA_SNS,4536885012,Severe acute respiratory syndrome coronavirus 2 antigen- or Severe acute respiratory syndrome coronavirus 2 messenger ribonucleic acid-containing vaccine product,"","",narrow,I,COVID19DX,AESI,4536885012
COVID19 diagnosis outcome,SCTSPA_SNS,363791000122111,infección por coronavirus en profesional sanitario (evento),"","",narrow,I,COVID19DX,AESI,363791000122111
COVID19 diagnosis outcome,SCTSPA_SNS,3973419014,Detection of Severe acute respiratory syndrome coronavirus 2 antigen,"","",narrow,I,COVID19DX,AESI,3973419014
COVID19 diagnosis outcome,SCTSPA_SNS,363491000122116,detección de anticuerpo coronavirus 2 del síndrome respiratorio agudo grave (entidad observable),"","",narrow,I,COVID19DX,AESI,363491000122116
COVID19 diagnosis outcome,SCTSPA_SNS,3973443012,Detection of ribonucleic acid of SARS-CoV-2 in oropharyngeal swab,"","",narrow,I,COVID19DX,AESI,3973443012
COVID19 diagnosis outcome,SCTSPA_SNS,1893891000209115,detección de ácido ribonucleico de SARS-CoV-2 en líquido de lavado broncoalveolar,"","",narrow,I,COVID19DX,AESI,1893891000209115
COVID19 diagnosis outcome,SCTSPA_SNS,1901341000209110,infección del tracto respiratorio inferior causada por SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,1901341000209110
COVID19 diagnosis outcome,SCTSPA_SNS,355491000122111,Pneumonia caused by severe acute respiratory syndrome coronavirus 2 (disorder),"","",narrow,I,COVID19DX,AESI,355491000122111
COVID19 diagnosis outcome,SCTSPA_SNS,355771000122117,PCR positiva de gen alternativo para SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,355771000122117
COVID19 diagnosis outcome,SCTSPA_SNS,3973416019,Detection of SARS-CoV-2 antibody,"","",narrow,I,COVID19DX,AESI,3973416019
COVID19 diagnosis outcome,SCTSPA_SNS,375391000122117,coinfección bacteriana nosocomial asociada a COVID-19,"","",narrow,I,COVID19DX,AESI,375391000122117
COVID19 diagnosis outcome,SCTSPA_SNS,1893881000209118,detección de ácido ribonucleico de COVID-19 en líquido de lavado broncoalveolar,"","",narrow,I,COVID19DX,AESI,1893881000209118
COVID19 diagnosis outcome,SCTSPA_SNS,2076201000209112,inmunoglobulina M contra SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,2076201000209112
COVID19 diagnosis outcome,SCTSPA_SNS,1878351000209117,miocardiopatía debida a enfermedad causada por coronavirus 2 del síndrome respiratorio agudo severo (trastorno),"","",narrow,I,COVID19DX,AESI,1878351000209117
COVID19 diagnosis outcome,SCTSPA_SNS,3973418018,Detection of SARS-CoV-2 antigen,"","",narrow,I,COVID19DX,AESI,3973418018
COVID19 diagnosis outcome,SCTSPA_SNS,2073351000209110,enfermedad causada por coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,2073351000209110
COVID19 diagnosis outcome,SCTSPA_SNS,1810781000209116,antígeno de COVID-19,"","",narrow,I,COVID19DX,AESI,1810781000209116
COVID19 diagnosis outcome,SCTSPA_SNS,363911000122117,tratamiento de enfermedad por SARS-CoV-2- uso combinado de antimaláricos- antirreumáticos- antirretrovirales (régimen-tratamiento),"","",narrow,I,COVID19DX,AESI,363911000122117
COVID19 diagnosis outcome,SCTSPA_SNS,366851000122115,detección de ácido ribonucleico de coronavirus 2 del síndrome respiratorio agudo grave mediante reacción en cadena de polimerasa,"","",narrow,I,COVID19DX,AESI,366851000122115
COVID19 diagnosis outcome,SCTSPA_SNS,1895541000209110,infección asintomática por SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,1895541000209110
COVID19 diagnosis outcome,SCTSPA_SNS,359351000122110,diagnóstico de infección COVID-19 confirmado por pruebas de laboratorio (trastorno),"","",narrow,I,COVID19DX,AESI,359351000122110
COVID19 diagnosis outcome,SCTSPA_SNS,3973000014,Cardiomyopathy due to disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),"","",narrow,I,COVID19DX,AESI,3973000014
COVID19 diagnosis outcome,SCTSPA_SNS,358921000122112,resultado- muerte con COVID-19 por causa desconocida,"","",narrow,I,COVID19DX,AESI,358921000122112
COVID19 diagnosis outcome,SCTSPA_SNS,362721000122116,Cardiomyopathy due to infection by severe acute respiratory syndrome coronavirus 2 (disorder),"","",narrow,I,COVID19DX,AESI,362721000122116
COVID19 diagnosis outcome,SCTSPA_SNS,2114651000209119,detección de anticuerpos contra SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,2114651000209119
COVID19 diagnosis outcome,SCTSPA_SNS,3968537013,Lymphocytopenia due to COVID-19,"","",narrow,I,COVID19DX,AESI,3968537013
COVID19 diagnosis outcome,SCTSPA_SNS,355561000122116,presencia de coronavirus 2 del síndrome respiratorio agudo grave en estudio post-mortem,"","",narrow,I,COVID19DX,AESI,355561000122116
COVID19 diagnosis outcome,SCTSPA_SNS,3973441014,Detection of ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 in oropharyngeal swab (observable entity),"","",narrow,I,COVID19DX,AESI,3973441014
COVID19 diagnosis outcome,SCTSPA_SNS,3973444018,Detection of ribonucleic acid of 2019-nCoV in oropharyngeal swab,"","",narrow,I,COVID19DX,AESI,3973444018
COVID19 diagnosis outcome,SCTSPA_SNS,1893961000209115,detección de ácido ribonucleico de COVID-19 mediante reacción en cadena de polimerasa,"","",narrow,I,COVID19DX,AESI,1893961000209115
COVID19 diagnosis outcome,SCTSPA_SNS,365981000122111,Disease due to SARS-CoV-2 in pregnant woman (disorder),"","",narrow,I,COVID19DX,AESI,365981000122111
COVID19 diagnosis outcome,SCTSPA_SNS,1895001000209118,bronquitis aguda causada por COVID-19,"","",narrow,I,COVID19DX,AESI,1895001000209118
COVID19 diagnosis outcome,SCTSPA_SNS,367191000122118,resultado positivo de prueba PCR para SARS-CoV-2 en muestra de lavado broncoalveolar,"","",narrow,I,COVID19DX,AESI,367191000122118
COVID19 diagnosis outcome,SCTSPA_SNS,360351000122114,encefalopatía debida a enfermedad por coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,360351000122114
COVID19 diagnosis outcome,SCTSPA_SNS,3902346015,Antibody to 2019-nCoV,"","",narrow,I,COVID19DX,AESI,3902346015
COVID19 diagnosis outcome,SCTSPA_SNS,1885671000209117,infección del tracto respiratorio superior causada por coronavirus 2 del síndrome respiratorio agudo severo (trastorno),"","",narrow,I,COVID19DX,AESI,1885671000209117
COVID19 diagnosis outcome,SCTSPA_SNS,364771000122112,Systemic inflammatory response syndrome associated with disease caused by SARS-CoV-2 (disorder),"","",narrow,I,COVID19DX,AESI,364771000122112
COVID19 diagnosis outcome,SCTSPA_SNS,357911000122117,infección respiratoria de vías bajas asociada a COVID-19,"","",narrow,I,COVID19DX,AESI,357911000122117
COVID19 diagnosis outcome,SCTSPA_SNS,371881000122114,Treatment with monoclonal antibodies for COVID-19 (regime-therapy),"","",narrow,I,COVID19DX,AESI,371881000122114
COVID19 diagnosis outcome,SCTSPA_SNS,366171000122117,Antiphospholipid syndrome in patient with disease due to SARS-CoV-2 (disorder),"","",narrow,I,COVID19DX,AESI,366171000122117
COVID19 diagnosis outcome,SCTSPA_SNS,358901000122116,resultado- muerte con COVID-19 por causa distinta de COVID-19,"","",narrow,I,COVID19DX,AESI,358901000122116
COVID19 diagnosis outcome,SCTSPA_SNS,368411000122115,secuela de COVID-19,"","",possible,I,COVID19DX,AESI,368411000122115
COVID19 diagnosis outcome,SCTSPA_SNS,3973477019,Detection of SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,3973477019
COVID19 diagnosis outcome,SCTSPA_SNS,1873271000209114,detección de ácido ribonucleico de coronavirus 2 del síndrome respiratorio agudo severo en hisopado orofaríngeo (entidad observable),"","",narrow,I,COVID19DX,AESI,1873271000209114
COVID19 diagnosis outcome,SCTSPA_SNS,2016001000209111,prueba positiva para anticuerpos contra SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,2016001000209111
COVID19 diagnosis outcome,SCTSPA_SNS,1799461000209112,antígeno de coronavirus del síndrome respiratorio agudo grave 2,"","",narrow,I,COVID19DX,AESI,1799461000209112
COVID19 diagnosis outcome,SCTSPA_SNS,1878361000209115,miocardiopatía debida a enfermedad causada por coronavirus 2 del síndrome respiratorio agudo severo,"","",narrow,I,COVID19DX,AESI,1878361000209115
COVID19 diagnosis outcome,SCTSPA_SNS,2076721000209113,viremia por coronavirus 2 del síndrome respiratorio agudo grave,"","",narrow,I,COVID19DX,AESI,2076721000209113
COVID19 diagnosis outcome,SCTSPA_SNS,366711000122111,detección de ARN de SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,366711000122111
COVID19 diagnosis outcome,SCTSPA_SNS,3902345016,Antibody to 2019 novel coronavirus (substance),"","",narrow,I,COVID19DX,AESI,3902345016
COVID19 diagnosis outcome,SCTSPA_SNS,1892601000209110,infección del tracto respiratorio inferior causada por coronavirus 2 del síndrome respiratorio agudo severo,"","",narrow,I,COVID19DX,AESI,1892601000209110
COVID19 diagnosis outcome,SCTSPA_SNS,1873311000209114,detección de ácido ribonucleico de coronavirus 2 del síndrome respiratorio agudo severo en líquido de lavado broncoalveolar (entidad observable),"","",narrow,I,COVID19DX,AESI,1873311000209114
COVID19 diagnosis outcome,SCTSPA_SNS,363061000122115,Acute hypoxemic respiratory failure due to disease caused by SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,363061000122115
COVID19 diagnosis outcome,SCTSPA_SNS,366831000122113,detección de ARN de SARS-CoV-2 en lavado broncoalveolar,"","",narrow,I,COVID19DX,AESI,366831000122113
COVID19 diagnosis outcome,SCTSPA_SNS,3951314013,Asymptomatic 2019-nCoV,"","",narrow,I,COVID19DX,AESI,3951314013
COVID19 diagnosis outcome,SCTSPA_SNS,380791000122116,prueba de anticuerpos frente a coronavirus 2 del síndrome respiratorio agudo grave positiva,"","",narrow,I,COVID19DX,AESI,380791000122116
COVID19 diagnosis outcome,SCTSPA_SNS,2076491000209119,miocarditis debida a COVID-19,"","",narrow,I,COVID19DX,AESI,2076491000209119
COVID19 diagnosis outcome,SCTSPA_SNS,366011000122113,Palliative treatment for disease due to SARS-CoV-2 (regime-therapy),"","",narrow,I,COVID19DX,AESI,366011000122113
COVID19 diagnosis outcome,SCTSPA_SNS,3969032017,Immunoglobulin G antibody to 2019-nCoV,"","",narrow,I,COVID19DX,AESI,3969032017
COVID19 diagnosis outcome,SCTSPA_SNS,356391000122114,Polymerase chain reaction positive of alternative gene for severe acute respiratory syndrome coronavirus 2 (finding),"","",narrow,I,COVID19DX,AESI,356391000122114
COVID19 diagnosis outcome,SCTSPA_SNS,1799471000209118,antígeno de SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,1799471000209118
COVID19 diagnosis outcome,SCTSPA_SNS,3902338016,2019 novel coronavirus (organism),"","",narrow,I,COVID19DX,AESI,3902338016
COVID19 diagnosis outcome,SCTSPA_SNS,366181000122119,Adverse effect of hydroxychloroquine in patient with disease due to SARS-CoV-2 (disorder),"","",narrow,I,COVID19DX,AESI,366181000122119
COVID19 diagnosis outcome,SCTSPA_SNS,364421000122115,encefalopatía necrotizante hemorrágica aguda asociada a enfermedad por SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,364421000122115
COVID19 diagnosis outcome,SCTSPA_SNS,374171000122119,Multisystem inflammatory syndrome in children associated to SARS-CoV-2,"","",narrow,I,COVID19DX,AESI,374171000122119
